image_file,tag_id,csv_x_mm,csv_y_mm,csv_z_mm,csv_roll_deg,csv_pitch_deg,csv_yaw_deg,original_x,original_y,original_z,unity_pos_x,unity_pos_y,unity_pos_z,unity_cam2tag_x,unity_cam2tag_y,unity_cam2tag_z,unity_rot_x,unity_rot_y,unity_rot_z,unity_quat_x,unity_quat_y,unity_quat_z,unity_quat_w,look_dot_real,look_dot_unity,rot_mode
CamCoordTest_1.jpg,0,-6.806229825,9.807196014,67.85088425,175.7560531,-5.367510068,-1.764691431,0.03160001,-2.3284,12.5992,0.03840624,-2.318592804,12.66705088,-0.00680623,-0.009807196,-0.067850884,4.406998,185.234594,178.237837,0.998073148,0.017105307,-0.046216018,0.037702508,0.9978,0.9978,CAM->TAG ExtXYZ Rx(roll)->Ry(pitch)->Rz(yaw); face=R@z; R_u=S@R@S; quat from R_u
CamCoordTest_2.jpg,0,11.98470027,13.26451546,71.56184997,174.6008397,-4.569871566,-1.484321313,0.03160001,-2.3284,12.5992,0.01961531,-2.315135485,12.67076185,0.0119847,-0.013264515,-0.07156185,5.515604,184.428491,178.513515,0.997987961,0.014805765,-0.039211916,0.047573578,0.9676,0.9676,CAM->TAG ExtXYZ Rx(roll)->Ry(pitch)->Rz(yaw); face=R@z; R_u=S@R@S; quat from R_u
CamCoordTest_3.jpg,0,-12.19545615,20.46696023,73.10714151,163.2690992,-9.308589726,-0.922732746,0.03160001,-2.3284,12.5992,0.043795466,-2.30793304,12.67230714,-0.012195456,-0.02046696,-0.073107142,16.877971,189.033478,179.048427,0.985970731,0.019745223,-0.079109876,0.145648452,0.9997,0.9997,CAM->TAG ExtXYZ Rx(roll)->Ry(pitch)->Rz(yaw); face=R@z; R_u=S@R@S; quat from R_u
CamCoordTest_4.jpg,0,11.09980608,26.35369628,82.68993876,160.5917741,-10.39514828,1.227510627,0.03160001,-2.3284,12.5992,0.020500204,-2.302046304,12.68188994,0.011099806,-0.026353696,-0.082689939,19.18228,190.817577,181.278347,0.98174569,0.004753897,-0.091087234,0.166900921,0.9532,0.9532,CAM->TAG ExtXYZ Rx(roll)->Ry(pitch)->Rz(yaw); face=R@z; R_u=S@R@S; quat from R_u
CamCoordTest_5.jpg,0,11.24935322,47.44778515,79.94641574,159.1582914,-10.68221082,4.274375603,0.03160001,-2.3284,12.5992,0.020350657,-2.280952215,12.67914642,0.011249353,-0.047447785,-0.079946416,19.991837,192.242301,184.470025,0.979182221,-0.019692736,-0.098201909,0.176552426,0.9333,0.9333,CAM->TAG ExtXYZ Rx(roll)->Ry(pitch)->Rz(yaw); face=R@z; R_u=S@R@S; quat from R_u
CamCoordTest_6.jpg,0,-24.27526229,38.78588582,60.19787549,158.9562839,-8.488159262,1.814159695,0.03160001,-2.3284,12.5992,0.055875272,-2.289614114,12.65939788,-0.024275262,-0.038785886,-0.060197875,20.765192,189.172929,181.918978,0.98058033,-0.00200951,-0.075634905,0.180935179,0.9646,0.9646,CAM->TAG ExtXYZ Rx(roll)->Ry(pitch)->Rz(yaw); face=R@z; R_u=S@R@S; quat from R_u
CamCoordTest_7.jpg,0,-31.84948538,5.82264815,39.78365025,173.6129287,-35.8938546,2.518575372,0.03160001,-2.3284,12.5992,0.063449495,-2.322577352,12.63898365,-0.031849485,-0.005822648,-0.03978365,4.906723,216.09537,182.04759,0.950012808,-0.003713379,-0.308747819,0.046224024,0.9986,0.9986,CAM->TAG ExtXYZ Rx(roll)->Ry(pitch)->Rz(yaw); face=R@z; R_u=S@R@S; quat from R_u
CamCoordTest_8.jpg,0,-24.65749624,6.039677165,46.41369173,174.2674385,-35.18342446,2.195978162,0.03160001,-2.3284,12.5992,0.056257506,-2.322360323,12.64561369,-0.024657496,-0.006039677,-0.046413692,4.464638,215.343424,181.800117,0.952156655,-0.003132972,-0.302711885,0.041873668,0.9912,0.9912,CAM->TAG ExtXYZ Rx(roll)->Ry(pitch)->Rz(yaw); face=R@z; R_u=S@R@S; quat from R_u
CamCoordTest_9.jpg,0,-15.44228187,5.460830822,44.54697729,174.6360372,-32.87914248,1.613561485,0.03160001,-2.3284,12.5992,0.047042292,-2.322939169,12.64374698,-0.015442282,-0.005460831,-0.044546977,4.48659,212.995848,181.35921,0.958159648,-0.000248997,-0.283297847,0.04089446,0.9704,0.9704,CAM->TAG ExtXYZ Rx(roll)->Ry(pitch)->Rz(yaw); face=R@z; R_u=S@R@S; quat from R_u
CamCoordTest_10.jpg,0,8.412198082,5.74751211,46.12423374,173.2696785,17.92119711,-1.853089416,0.03160001,-2.3284,12.5992,0.023187812,-2.322652488,12.64532423,0.008412198,-0.005747512,-0.046124234,6.157002,161.879765,178.226618,0.986111343,0.00680412,0.156403928,0.055461102,0.9908,0.9908,CAM->TAG ExtXYZ Rx(roll)->Ry(pitch)->Rz(yaw); face=R@z; R_u=S@R@S; quat from R_u
CamCoordTest_11.jpg,0,17.93183972,6.423872665,47.52662,172.3532597,17.0735694,-2.059512267,0.03160001,-2.3284,12.5992,0.01366817,-2.321976127,12.64672662,0.01793184,-0.006423873,-0.04752662,7.037653,162.6729,178.016339,0.986738307,0.007836198,0.149275127,0.063269606,0.9983,0.9983,CAM->TAG ExtXYZ Rx(roll)->Ry(pitch)->Rz(yaw); face=R@z; R_u=S@R@S; quat from R_u
CamCoordTest_12.jpg,0,-5.360065906,1.780656493,39.48967726,178.2296524,7.39997174,0.081517934,0.03160001,-2.3284,12.5992,0.036960076,-2.326619344,12.63868968,-0.005360066,-0.001780656,-0.039489677,1.780845,172.602534,180.080878,0.997795585,-0.001706739,0.064513378,0.01546228,0.9653,0.9653,CAM->TAG ExtXYZ Rx(roll)->Ry(pitch)->Rz(yaw); face=R@z; R_u=S@R@S; quat from R_u
CamCoordTest_13.jpg,0,3.887383397,5.672723878,39.55892207,173.2838732,1.066668566,0.073107097,0.03160001,-2.3284,12.5992,0.027712627,-2.322727276,12.63875892,0.003887383,-0.005672724,-0.039558922,6.717482,178.94194,180.0736,0.998239169,-0.001182097,0.009254952,0.058579093,0.9966,0.9966,CAM->TAG ExtXYZ Rx(roll)->Ry(pitch)->Rz(yaw); face=R@z; R_u=S@R@S; quat from R_u
